date,ccy
27 January 2021,usd
17 March 2021,usd
28 April 2021,usd
16 June 2021,usd
28 July 2021,usd
2 September 2021,usd
3 November 2021,usd
15 December 2021,usd
21 January 2021,eur
11 March 2021,eur
22 April 2021,eur
10 June 2021,eur
22 July 2021,eur
9 September 2021,eur
28 October 2021,eur
16 December 2021,eur
4 February 2021,gbp
18 March 2021,gbp
6 May 2021,gbp
4 June 2021,gbp
5 August 2021,gbp
23 September 2021,gbp
4 November 2021,gbp
16 December 2021,gbp
25 March 2021,chf
17 June 2021,chf
23 September 2021,chf
16 December 2021,chf
21 January 2021,jpy
19 March 2021,jpy
27 April 2021,jpy
18 June 2021,jpy
16 July 2021,jpy
22 September 2021,jpy
28 October 2021,jpy
17 December 2021,jpy
